title,type,release_year,runtime,imdb_score
Sergio,MOVIE,2009,94,7.4
Luck by Chance,MOVIE,2009,155,7.1
Karthik Calling Karthik,MOVIE,2010,135,7.1
Monty Python's Personal Best,SHOW,2006,56,7.9
Ajab Prem Ki Ghazab Kahani,MOVIE,2009,150,6.3
Dhan Dhana Dhan Goal,MOVIE,2007,167,5.0
Salt of This Sea,MOVIE,2008,109,6.8
Yuva,MOVIE,2004,161,7.3
Fuga,MOVIE,2006,110,6.3
Namastey London,MOVIE,2007,131,7.1
Fashion,MOVIE,2008,167,6.9
Peepli Live,MOVIE,2010,104,7.4
Lakshya,MOVIE,2004,186,7.8
Trailer Park Boys: Say Goodnight to the Bad Guys,MOVIE,2008,60,7.8
Pomegranates and Myrrh,MOVIE,2009,95,6.3
Tony Manero,MOVIE,2008,97,6.8
Do Dooni Chaar,MOVIE,2010,146,7.5
Kismat Konnection,MOVIE,2008,153,5.3
Wake Up Sid,MOVIE,2009,138,7.6
Life in a Metro,MOVIE,2007,124,7.4
El cartel 2 - La guerra total,SHOW,2010,44,6.8
Awara Paagal Deewana,MOVIE,2002,169,6.2
The Figurine (Araromire),MOVIE,2009,122,4.4
The Unjust,MOVIE,2010,119,6.6
Kurbaan,MOVIE,2009,161,5.7
Canâ€™t Complain,MOVIE,2007,113,7.5
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,2002,100,7.3
